"location";"hits";"keyword";"geo";"gprop";"month_year";"sigla_uf";"cod_uf"
"State of Mato Grosso do Sul";58;"zika virus";"BR";"web";"01-2016";"MS";50
"State of Mato Grosso do Sul";61;"zika virus";"BR";"web";"02-2016";"MS";50
"State of Minas Gerais";73;"zika virus";"BR";"web";"02-2016";"MG";31
"State of Minas Gerais";27;"zika virus";"BR";"web";"08-2016";"MG";31
"State of Minas Gerais";24;"zika virus";"BR";"web";"07-2016";"MG";31
"State of Minas Gerais";38;"zika virus";"BR";"web";"10-2016";"MG";31
"State of Minas Gerais";46;"zika virus";"BR";"web";"05-2016";"MG";31
"State of Minas Gerais";82;"zika virus";"BR";"web";"03-2016";"MG";31
"State of Minas Gerais";42;"zika virus";"BR";"web";"01-2016";"MG";31
"State of Minas Gerais";29;"zika virus";"BR";"web";"11-2016";"MG";31
"State of Minas Gerais";51;"zika virus";"BR";"web";"04-2016";"MG";31
"State of Minas Gerais";33;"zika virus";"BR";"web";"09-2016";"MG";31
"State of Minas Gerais";25;"zika virus";"BR";"web";"12-2016";"MG";31
"State of Minas Gerais";37;"zika virus";"BR";"web";"06-2016";"MG";31
"State of Pará";46;"zika virus";"BR";"web";"06-2016";"PA";15
"State of Pará";32;"zika virus";"BR";"web";"12-2016";"PA";15
"State of Pará";91;"zika virus";"BR";"web";"03-2016";"PA";15
"State of Pará";53;"zika virus";"BR";"web";"04-2016";"PA";15
"State of Pará";63;"zika virus";"BR";"web";"09-2016";"PA";15
"State of Pará";85;"zika virus";"BR";"web";"02-2016";"PA";15
"State of Pará";47;"zika virus";"BR";"web";"11-2016";"PA";15
"State of Pará";50;"zika virus";"BR";"web";"01-2016";"PA";15
"State of Pará";37;"zika virus";"BR";"web";"10-2016";"PA";15
"State of Pará";32;"zika virus";"BR";"web";"07-2016";"PA";15
"State of Pará";53;"zika virus";"BR";"web";"08-2016";"PA";15
"State of Pará";68;"zika virus";"BR";"web";"05-2016";"PA";15
"State of Paraíba";54;"zika virus";"BR";"web";"06-2016";"PB";25
"State of Paraíba";47;"zika virus";"BR";"web";"04-2016";"PB";25
"State of Paraíba";50;"zika virus";"BR";"web";"10-2016";"PB";25
"State of Paraíba";64;"zika virus";"BR";"web";"08-2016";"PB";25
"State of Paraíba";49;"zika virus";"BR";"web";"07-2016";"PB";25
"State of Paraíba";69;"zika virus";"BR";"web";"03-2016";"PB";25
"State of Paraíba";22;"zika virus";"BR";"web";"01-2016";"PB";25
"State of Paraíba";39;"zika virus";"BR";"web";"11-2016";"PB";25
"State of Paraíba";77;"zika virus";"BR";"web";"05-2016";"PB";25
"State of Paraíba";48;"zika virus";"BR";"web";"09-2016";"PB";25
"State of Paraíba";9;"zika virus";"BR";"web";"12-2016";"PB";25
"State of Paraíba";44;"zika virus";"BR";"web";"02-2016";"PB";25
"State of Paraná";34;"zika virus";"BR";"web";"01-2016";"PR";41
"State of Paraná";28;"zika virus";"BR";"web";"05-2016";"PR";41
"State of Paraná";18;"zika virus";"BR";"web";"07-2016";"PR";41
"State of Paraná";29;"zika virus";"BR";"web";"10-2016";"PR";41
"State of Paraná";46;"zika virus";"BR";"web";"02-2016";"PR";41
"State of Paraná";49;"zika virus";"BR";"web";"03-2016";"PR";41
"State of Paraná";29;"zika virus";"BR";"web";"11-2016";"PR";41
"State of Paraná";28;"zika virus";"BR";"web";"04-2016";"PR";41
"State of Paraná";19;"zika virus";"BR";"web";"12-2016";"PR";41
"State of Paraná";28;"zika virus";"BR";"web";"08-2016";"PR";41
"State of Paraná";24;"zika virus";"BR";"web";"09-2016";"PR";41
"State of Paraná";22;"zika virus";"BR";"web";"06-2016";"PR";41
"State of Pernambuco";28;"zika virus";"BR";"web";"04-2016";"PE";26
"State of Pernambuco";22;"zika virus";"BR";"web";"12-2016";"PE";26
"State of Pernambuco";53;"zika virus";"BR";"web";"02-2016";"PE";26
"State of Pernambuco";27;"zika virus";"BR";"web";"11-2016";"PE";26
"State of Pernambuco";42;"zika virus";"BR";"web";"10-2016";"PE";26
"State of Pernambuco";30;"zika virus";"BR";"web";"07-2016";"PE";26
"State of Pernambuco";32;"zika virus";"BR";"web";"05-2016";"PE";26
"State of Pernambuco";34;"zika virus";"BR";"web";"08-2016";"PE";26
"State of Pernambuco";29;"zika virus";"BR";"web";"09-2016";"PE";26
"State of Pernambuco";29;"zika virus";"BR";"web";"06-2016";"PE";26
"State of Pernambuco";55;"zika virus";"BR";"web";"03-2016";"PE";26
"State of Pernambuco";33;"zika virus";"BR";"web";"01-2016";"PE";26
"State of Piauí";20;"zika virus";"BR";"web";"12-2016";"PI";22
"State of Piauí";47;"zika virus";"BR";"web";"04-2016";"PI";22
"State of Piauí";53;"zika virus";"BR";"web";"05-2016";"PI";22
"State of Piauí";35;"zika virus";"BR";"web";"07-2016";"PI";22
"State of Piauí";61;"zika virus";"BR";"web";"03-2016";"PI";22
"State of Piauí";44;"zika virus";"BR";"web";"10-2016";"PI";22
"State of Piauí";59;"zika virus";"BR";"web";"06-2016";"PI";22
"State of Piauí";48;"zika virus";"BR";"web";"02-2016";"PI";22
"State of Piauí";24;"zika virus";"BR";"web";"01-2016";"PI";22
"State of Piauí";53;"zika virus";"BR";"web";"08-2016";"PI";22
"State of Piauí";37;"zika virus";"BR";"web";"11-2016";"PI";22
"State of Piauí";77;"zika virus";"BR";"web";"09-2016";"PI";22
"State of Rio de Janeiro";56;"zika virus";"BR";"web";"02-2016";"RJ";33
"State of Rio de Janeiro";24;"zika virus";"BR";"web";"12-2016";"RJ";33
"State of Rio de Janeiro";45;"zika virus";"BR";"web";"05-2016";"RJ";33
"State of Rio de Janeiro";22;"zika virus";"BR";"web";"11-2016";"RJ";33
"State of Rio de Janeiro";43;"zika virus";"BR";"web";"04-2016";"RJ";33
"State of Rio de Janeiro";21;"zika virus";"BR";"web";"10-2016";"RJ";33
"State of Rio de Janeiro";58;"zika virus";"BR";"web";"03-2016";"RJ";33
"State of Rio de Janeiro";58;"zika virus";"BR";"web";"01-2016";"RJ";33
"State of Rio de Janeiro";31;"zika virus";"BR";"web";"06-2016";"RJ";33
"State of Rio de Janeiro";28;"zika virus";"BR";"web";"09-2016";"RJ";33
"State of Rio de Janeiro";37;"zika virus";"BR";"web";"08-2016";"RJ";33
"State of Rio de Janeiro";28;"zika virus";"BR";"web";"07-2016";"RJ";33
"State of Rio Grande do Norte";24;"zika virus";"BR";"web";"08-2016";"RN";24
"State of Rio Grande do Norte";35;"zika virus";"BR";"web";"09-2016";"RN";24
"State of Rio Grande do Norte";28;"zika virus";"BR";"web";"01-2016";"RN";24
"State of Rio Grande do Norte";40;"zika virus";"BR";"web";"07-2016";"RN";24
"State of Rio Grande do Norte";44;"zika virus";"BR";"web";"06-2016";"RN";24
"State of Rio Grande do Norte";51;"zika virus";"BR";"web";"02-2016";"RN";24
"State of Rio Grande do Norte";81;"zika virus";"BR";"web";"03-2016";"RN";24
"State of Rio Grande do Norte";12;"zika virus";"BR";"web";"12-2016";"RN";24
"State of Rio Grande do Norte";40;"zika virus";"BR";"web";"05-2016";"RN";24
"State of Rio Grande do Norte";21;"zika virus";"BR";"web";"10-2016";"RN";24
"State of Rio Grande do Norte";47;"zika virus";"BR";"web";"04-2016";"RN";24
"State of Rio Grande do Norte";16;"zika virus";"BR";"web";"11-2016";"RN";24
"State of Rio Grande do Sul";29;"zika virus";"BR";"web";"09-2016";"RS";43
"State of Rio Grande do Sul";36;"zika virus";"BR";"web";"04-2016";"RS";43
"State of Rio Grande do Sul";21;"zika virus";"BR";"web";"11-2016";"RS";43
"State of Rio Grande do Sul";20;"zika virus";"BR";"web";"12-2016";"RS";43
"State of Rio Grande do Sul";43;"zika virus";"BR";"web";"08-2016";"RS";43
"State of Rio Grande do Sul";47;"zika virus";"BR";"web";"02-2016";"RS";43
"State of Rio Grande do Sul";30;"zika virus";"BR";"web";"01-2016";"RS";43
"State of Rio Grande do Sul";27;"zika virus";"BR";"web";"10-2016";"RS";43
"State of Rio Grande do Sul";24;"zika virus";"BR";"web";"06-2016";"RS";43
"State of Rio Grande do Sul";38;"zika virus";"BR";"web";"05-2016";"RS";43
"State of Rio Grande do Sul";24;"zika virus";"BR";"web";"07-2016";"RS";43
"State of Rio Grande do Sul";59;"zika virus";"BR";"web";"03-2016";"RS";43
"State of Rondônia";23;"zika virus";"BR";"web";"07-2016";"RO";11
"State of Rondônia";35;"zika virus";"BR";"web";"01-2016";"RO";11
"State of Rondônia";71;"zika virus";"BR";"web";"10-2016";"RO";11
"State of Rondônia";40;"zika virus";"BR";"web";"08-2016";"RO";11
"State of Rondônia";85;"zika virus";"BR";"web";"02-2016";"RO";11
"State of Rondônia";40;"zika virus";"BR";"web";"04-2016";"RO";11
"State of Rondônia";55;"zika virus";"BR";"web";"12-2016";"RO";11
"State of Rondônia";16;"zika virus";"BR";"web";"06-2016";"RO";11
"State of Rondônia";30;"zika virus";"BR";"web";"11-2016";"RO";11
"State of Rondônia";88;"zika virus";"BR";"web";"03-2016";"RO";11
